Iterations	Fitness (Avergage from 30 samples)
600	328,201641080931
601	328,11273258776
602	328,098029680147
603	328,098017659707
604	328,095990542921
605	328,095982854289
606	328,068779806026
607	328,05672986658
608	328,056725931978
609	328,037654160374
610	327,930521293178
611	327,928639021303
612	327,902029405798
613	327,902028116965
614	327,902027085934
615	327,898449594953
616	327,811611521663
617	327,771501871481
618	327,771501449205
619	327,767075963412
620	327,767007922364
621	327,767007706165
622	327,767007533207
623	327,726572498173
624	327,72657238748
625	327,619587921933
626	327,61958785109
627	327,619587794416
628	326,915087239043
629	326,760280136047
630	326,683397007902
631	326,531095216984
632	326,531095198413
633	326,514141164301
634	326,439410074286
635	326,439410064778
636	326,38053561127
637	326,36238341324
638	326,318304465977
639	326,315015167285
640	326,307999620552
641	326,303509533339
642	326,264687749331
643	326,201163008664
644	326,121722583498
645	325,999843208223
646	325,725889557729
647	325,477958562865
648	325,460856869027
649	325,263470745533
650	325,261890969734
651	325,261785095802
652	325,114024422159
653	325,025748262083
654	325,003664450932
655	324,831518381917
656	324,818028605269
657	324,785180984789
658	324,744860534037
659	324,709636651299
660	324,68132081796
661	324,570608757986
662	324,558732963744
663	324,524211213564
664	324,471727057891
665	324,452703814283
666	324,451869468654
667	324,451597863293
668	324,446012388766
669	324,445998283598
670	324,246792002067
671	324,233770205964
672	324,202061321231
673	324,133499583574
674	324,032656611262
675	323,756149303945
676	323,753180549806
677	323,647867648828
678	323,580588906754
679	323,579019609962
680	323,216215138278
681	323,002724754752
682	322,998990499461
683	322,828258413403
684	322,81035246609
685	322,785332034679
686	322,784521908458
687	322,784000954165
688	322,736933839879
689	322,735725163271
690	322,735585759012
691	322,681269465338
692	322,68118534782
693	322,669368841715
694	322,573972149207
695	322,547795645182
696	322,539125439908
697	322,538822950131
698	322,526298591868
699	322,52117735293
700	322,516149382898
701	322,512690324111
702	322,506895072021
703	322,506673427506
704	322,506505021567
705	322,505924156063
706	322,488809801531
707	322,488732478865
708	322,488672114482
709	322,387212759593
710	322,200892306913
711	322,200184808201
712	322,199654120253
713	322,189452339376
714	322,189290815579
715	322,189279146272
716	322,189269852853
717	322,189262445015
718	322,181266541359
719	322,179587310811
720	322,13403591931
721	322,13324753423
722	322,132697797502
723	322,132309670421
724	321,85253274209
725	321,678872786335
726	321,678716096693
727	321,554590798723
728	321,554022644038
729	321,552719422753
730	321,54168611697
731	321,538353910986
732	321,536976270715
733	321,536025052057
734	321,535809283421
735	321,496325489644
736	321,492520754112
737	321,492410934682
738	321,491661207596
739	321,491369994186
740	321,489941772026
741	321,477734290924
742	321,439979496225
743	321,366734694242
744	321,366642708101
745	321,366549460959
746	321,333063635936
747	321,333038601921
748	321,33302922243
749	321,331277002792
750	321,331269979064
751	320,844117883363
752	320,844114042749
753	320,844110970394
754	320,844108512598
755	320,728269139737
756	320,728267566827
757	320,721587577484
